Licence,treatment,Plot,Tree,Species,HT,CountedAge,SiteIndex,AgeCorrection,CorrectedAge
A16818,sx,13,3,At,20.3,19,37,2,21
A16818,sx,10,1,At,18.3,20,33,2,22
A16818,sx,14,6,Sx,17.9,27,31,12,39
A16818,sx,14,1,At,17.7,30,25,3,33
A16818,sx,9,4,At,16.9,24,27,3,27
A16818,sx,15,3,Sx,16.7,26,29,12,38
A16818,sx,11,5,Sx,16.5,20,34,11,31
A16818,sx,16,12,Pl,15.5,26,25,5,31
A16818,sx,10,12,Pl,15.3,25,24,5,30
A16818,sx,12,6,Pl,15.1,29,21,6,35
A16818,sx,13,4,Hw,14.7,26,27,4,30
A16818,sx,10,3,Hw,14.5,26,27,4,30
A16818,sx,15,2,Sx,14.5,24,27,12,36
A16818,sx,9,1,Hw,13.9,20,31,3,23
A16818,sx,13,2,Sx,13.9,20,30,12,32
A16818,sx,14,8,Hw,13.5,19,31,3,22
A16818,sx,9,3,Sx,13.4,25,24,13,38
A16818,sx,16,14,Hw,12.8,23,24,5,28
A16818,sx,12,8,Hw,11.9,20,27,4,24
A16818,sx,12,2,Sx,11.8,24,22,13,37
A16818,sx,12,7,Sx,11.3,22,25,13,35
A16818,sx,16,8,Sx,10.7,20,25,13,33
A16818,sx,15,7,Bl,7.1,15,35,11,26
A31738,pl,79,7,Acw,41.9,131,31,2,133
A31738,pl,77,9,At,29.1,65,26,3,68
A31738,pl,78,3,Hw,19.6,86,13,11,97
A31738,pl,75,4,Sx,16.4,23,28,12,35
A31738,pl,73,9,Hw,16.1,40,19,7,47
A31738,pl,74,4,Sx,15.8,36,22,13,49
A31738,pl,75,3,Hw,15.3,38,18,7,45
A31738,pl,80,4,Hw,14.8,26,27,4,30
A31738,pl,79,5,Bl,14.3,40,17,12,52
A31738,pl,79,4,Sx,14.2,31,22,13,44
A31738,pl,78,8,Sx,13.8,20,30,12,32
A31738,pl,76,1,Pl,13.5,27,22,5,32
A31738,pl,79,1,Hw,13.5,26,25,4,30
A31738,pl,79,2,Hw,13.5,26,25,4,30
A31738,pl,76,3,Hw,13.3,27,24,5,32
A31738,pl,78,2,Bl,13.1,32,20,10,42
A31738,pl,76,2,Ep,12.6,20,25,3,23
A31738,pl,74,1,Ep,11.3,28,16,4,32
A31738,pl,77,8,Hw,10.4,19,23,5,24
A31738,pl,73,4,Sx,10.3,24,19,14,38
A31738,pl,76,5,Cw,9.5,22,21,6,28
A31738,pl,75,10,Cw,9.4,23,15,11,34
A31738,pl,77,1,Sx,9.2,21,21,13,34
A31738,pl,74,3,Hw,6.5,23,14,10,33
A34657,pl,35,1,Hw,18.3,22,37,3,25
A34657,pl,39,6,Ep,18.2,24,28,3,27
A34657,pl,33,1,Sx,17.6,26,31,12,38
A34657,pl,36,1,Pl,17.5,23,28,4,27
A34657,pl,35,7,Pl,17.4,25,26,5,30
A34657,pl,38,2,Pl,16.6,27,23,5,32
A34657,pl,34,1,Pl,16.4,23,25,5,28
A34657,pl,34,8,Hw,16.3,31,25,4,35
A34657,pl,33,10,Pl,15.9,26,25,5,31
A34657,pl,39,3,Sx,15.7,24,28,12,36
A34657,pl,36,9,Sx,15.5,26,28,12,38
A34657,pl,37,6,Pl,15.2,25,24,5,30
A34657,pl,40,1,Sx,14.7,27,23,13,40
A34657,pl,35,8,Sx,13.7,22,30,12,34
A34657,pl,37,4,Hw,13.4,27,20,6,33
A34657,pl,35,5,Cw,13.2,24,22,10,34
A34657,pl,37,2,Cw,12.7,25,22,10,35
A34657,pl,38,5,Hw,12.5,21,29,4,25
A34657,pl,36,7,Cw,9.6,19,20,10,29
A34657,pl,36,2,Hw,8.6,14,27,4,18
A34657,pl,38,10,Cw,8.2,19,16,11,30
A34676,pl,19,1,Sx,18,25,31,12,37
A34676,pl,23,14,Sx,17.9,25,31,12,37
A34676,pl,18,8,Pl,17.8,27,28,4,31
A34676,pl,19,5,Ep,17.5,27,25,3,30
A34676,pl,20,4,Pl,17.3,29,23,5,34
A34676,pl,22,5,Pl,16.7,28,23,5,33
A34676,pl,22,6,Sx,16.7,23,29,12,35
A34676,pl,24,3,Pl,16.1,27,22,5,32
A34676,pl,19,6,Ep,16,29,22,3,32
A34676,pl,21,3,Pl,15.9,25,25,5,30
A34676,pl,21,4,Sx,15.8,25,28,12,37
A34676,pl,19,3,Bl,15.6,32,24,9,41
A34676,pl,17,1,Pl,15.4,29,21,6,35
A34676,pl,22,2,Ep,14.8,24,24,3,27
A34676,pl,21,1,Cw,14.7,21,30,8,29
A34676,pl,23,11,Hw,14.3,26,25,4,30
A34676,pl,21,8,Hw,12.8,23,24,5,28
A34676,pl,17,2,Sx,12.2,20,26,12,32
A34676,pl,17,9,Bl,10.9,20,23,9,29
A34676,pl,20,6,Hw,9.4,19,21,6,25
A34676,pl,18,7,Hw,8.9,22,21,6,28
A34676,pl,17,5,Hw,8.7,22,21,6,28
A34677,pl,31,3,At,20.3,27,28,3,30
A34677,pl,29,2,At,19,29,26,3,32
A34677,pl,32,9,At,17.4,28,24,3,31
A34677,pl,32,3,At,15.5,20,30,3,23
A34677,pl,28,3,Pl,15.3,30,21,6,36
A34677,pl,25,1,Pl,13.7,22,26,5,27
A34677,pl,26,3,Hw,13.7,27,22,5,32
A34677,pl,28,1,Ep,13.3,27,19,3,30
A34677,pl,27,4,Pl,12.9,21,24,5,26
A34677,pl,30,1,Hw,12.9,28,20,6,34
A34677,pl,31,7,Sx,11.5,23,22,13,36
A34677,pl,29,5,Hw,11.3,23,21,6,29
A34677,pl,26,1,Pl,11.2,20,21,6,26
A34677,pl,32,7,Ep,11.2,27,16,4,31
A34677,pl,27,8,Ep,11.1,24,18,3,27
A34677,pl,26,7,At,10.2,23,17,4,27
A34677,pl,29,1,Sx,10.2,24,19,14,38
A34677,pl,28,2,Hw,9.7,19,23,5,24
A34677,pl,25,7,Hw,9.5,24,19,7,31
A34677,pl,27,5,Sx,9.5,25,19,14,39
A34677,pl,30,3,Cw,9.5,22,20,10,32
A34677,pl,32,6,Cw,9.4,22,18,10,32
A34677,pl,26,4,Bl,7.7,22,18,11,33
A34677,pl,27,6,Bl,6.9,18,15,12,30
A34677,pl,29,8,Cw,6.8,18,14,11,29
A34677,pl,31,9,Cw,4.7,14,15,11,25
A36517-15,mix,4,4,Sx,17.8,23,31,12,35
A36517-15,mix,5,7,Sx,16.8,27,26,12,39
A36517-15,mix,4,10,Hw,15.9,25,28,4,29
A36517-15,mix,5,2,Pl,15.9,28,22,5,33
A36517-15,mix,1,8,Sx,15.2,24,27,12,36
A36517-15,mix,4,2,Pl,15,23,24,5,28
A36517-15,mix,3,8,Sx,14.9,22,31,12,34
A36517-15,mix,7,4,Sx,14.9,27,23,13,40
A36517-15,mix,8,8,Sx,14.9,26,27,12,38
A36517-15,mix,2,5,Sx,14.8,25,27,12,37
A36517-15,mix,3,9,Pl,14.8,26,24,5,31
A36517-15,mix,1,7,Pl,14.6,23,24,5,28
A36517-15,mix,8,9,Pl,13.8,26,22,5,31
A36517-15,mix,7,1,Pl,13.6,25,22,5,30
A36517-15,mix,3,6,Hw,12.6,18,29,4,22
A36517-15,mix,6,2,Hw,11.8,22,27,4,26
A36517-15,mix,7,2,Cw,11.8,19,24,9,28
A36517-15,mix,2,1,Hw,11,24,21,6,30
A36517-15,mix,6,1,Bl,11,21,23,9,30
A36517-15,mix,8,2,Hw,11,19,25,4,23
A36517-15,mix,1,2,Hw,9.4,22,21,6,28
A36517-15,mix,6,7,Cw,9.3,17,23,9,26
A36517-15,mix,8,6,Cw,8.7,17,23,9,26
A36517-95,sx,68,1,Sx,16.8,26,29,12,38
A36517-95,sx,65,2,Sx,15.9,28,24,13,41
A36517-95,sx,67,9,Sx,15.6,23,28,12,35
A36517-95,sx,71,7,Sx,15.5,28,24,13,41
A36517-95,sx,72,10,Sx,15.5,26,28,12,38
A36517-95,sx,66,7,Sx,15.1,25,27,12,37
A36517-95,sx,69,2,Sx,14.9,24,27,12,36
A36517-95,sx,68,4,Pl,14.2,21,26,5,26
A36517-95,sx,71,4,Cw,14.1,37,18,10,47
A36517-95,sx,70,8,Sx,13.5,28,22,13,41
A36517-95,sx,69,4,Hw,12.7,32,20,6,38
A36517-95,sx,70,5,Ep,12.1,20,23,3,23
A36517-95,sx,71,5,Hw,10.7,27,21,6,33
A36517-95,sx,68,2,Hw,10.2,13,30,3,16
A36517-95,sx,67,2,Cw,8.8,22,18,10,32
A36517-95,sx,67,10,Hw,7.9,21,19,7,28
A36517-95,sx,67,8,Bl,7.6,21,18,11,32
A36528,sx,48,1,Pl,17.3,26,26,5,31
A36528,sx,43,3,Pl,16.5,21,30,4,25
A36528,sx,44,8,Ep,16.3,25,26,3,28
A36528,sx,43,10,Pl,15.9,25,25,5,30
A36528,sx,46,2,Pl,15.7,27,22,5,32
A36528,sx,42,10,Ep,15.5,23,26,3,26
A36528,sx,41,2,Pl,15.4,26,24,5,31
A36528,sx,43,7,Ep,15.3,21,29,3,24
A36528,sx,46,6,Sx,14.9,27,23,13,40
A36528,sx,43,8,Pl,14.8,20,27,4,24
A36528,sx,44,2,Sx,14.8,25,27,12,37
A36528,sx,45,9,Sx,14.7,26,27,12,38
A36528,sx,47,8,Hw,14.6,26,27,4,30
A36528,sx,42,6,Pl,14.4,20,26,5,25
A36528,sx,44,11,Sx,13.9,25,25,13,38
A36528,sx,43,1,Hw,13.8,26,27,4,30
A36528,sx,42,9,Sx,13.5,27,22,13,40
A36528,sx,41,6,Hw,13.3,20,29,4,24
A36528,sx,45,10,Hw,13.2,27,24,5,32
A36528,sx,46,7,Hw,12.8,27,20,6,33
A36528,sx,47,11,Sx,12.8,28,20,14,42
A36528,sx,42,3,Hw,12.5,24,24,5,29
A36528,sx,47,3,Cw,10.7,19,22,9,28
A36528,sx,48,6,Hw,9.8,21,23,5,26
A36528,sx,45,7,Cw,7.9,23,13,11,34
A40440,sx,85,3,Acw,19.8,25,20,2,
A40440,sx,82,1,Hw,18.2,39,22,5,
A40440,sx,83,7,Sx,17.4,29,26,12,
A40440,sx,87,8,At,16.4,25,26,3,
A40440,sx,87,1,Cw,15.6,24,27,9,
A40440,sx,82,10,Sx,15.4,27,23,13,
A40440,sx,87,3,Sx,14.8,29,23,13,
A40440,sx,83,1,Hw,14.4,24,25,4,
A40440,sx,86,8,Sx,13.9,28,22,13,
A40440,sx,81,1,Sx,13.7,25,25,13,
A40440,sx,84,5,Sx,13.6,25,25,13,
A40440,sx,86,5,Acw,13.2,24,22,2,
A40440,sx,87,12,Hw,12.5,20,29,4,
A40440,sx,84,4,Hw,12,23,22,5,
A40440,sx,85,9,Hw,11.7,22,27,4,
A40440,sx,83,6,Sx,11.3,19,25,13,
A40440,sx,81,10,Hw,11.2,23,21,6,
A40440,sx,85,5,Sx,11.2,23,21,13,
A40440,sx,82,3,Hw,10.8,22,25,4,
A40440,sx,88,2,Sx,10.4,24,19,14,
A40440,sx,87,9,Bl,9.7,23,18,11,
A40440,sx,88,7,Cw,9,22,18,10,
A40472,mix,49,3,Hw,15.8,24,28,4,28
A40472,mix,52,1,Sx,15.4,28,23,13,41
A40472,mix,51,7,Sx,15.3,28,23,13,41
A40472,mix,53,9,Hw,15.3,27,23,5,32
A40472,mix,56,8,Pl,15.2,23,24,5,28
A40472,mix,56,1,Hw,15,24,27,4,28
A40472,mix,55,9,Sx,14.6,23,27,12,35
A40472,mix,50,3,Sx,14.5,24,27,12,36
A40472,mix,52,5,Hw,14.1,26,25,4,30
A40472,mix,54,8,Sx,14,29,22,13,42
A40472,mix,53,5,Sx,13.9,16,37,11,27
A40472,mix,55,1,Pl,13.6,23,22,5,28
A40472,mix,54,7,Pl,13.2,25,21,6,31
A40472,mix,50,2,Hw,13,25,24,5,30
A40472,mix,49,1,Pl,12.9,16,30,4,20
A40472,mix,51,5,Hw,12.6,27,20,6,33
A40472,mix,54,4,Hw,12.5,26,24,5,31
A40472,mix,49,6,Hw,12.4,26,22,5,31
A40472,mix,52,7,Pl,11.8,24,19,6,30
A40472,mix,55,4,Hw,11.4,20,25,4,24
A40472,mix,53,1,Pl,11.3,19,21,6,25
A40472,mix,50,1,Pl,10.6,23,18,6,29
A40472,mix,49,8,Sx,9.2,24,17,15,39
A40472,mix,51,4,Pl,8.3,26,14,8,34
A40473,mix,64,2,At,21.4,24,33,2,26
A40473,mix,64,3,Sx,16.8,26,29,12,38
A40473,mix,60,2,Sx,16.5,24,29,12,36
A40473,mix,64,7,Cw,16.1,67,14,11,78
A40473,mix,61,7,Sx,15.9,25,28,12,37
A40473,mix,64,5,Hw,15.9,23,28,4,27
A40473,mix,59,3,Pl,15.1,28,21,6,34
A40473,mix,62,8,Hw,15.1,24,25,4,28
A40473,mix,59,5,Pl,14.8,26,24,5,31
A40473,mix,58,4,Sx,14.5,26,27,12,38
A40473,mix,60,1,Pl,14.3,28,20,6,34
A40473,mix,62,7,Sx,14,21,30,12,33
A40473,mix,64,4,Hw,13.9,22,31,3,25
A40473,mix,62,4,Pl,13.8,24,22,5,29
A40473,mix,57,3,Pl,13.7,24,22,5,29
A40473,mix,63,8,Pl,13.7,27,20,6,33
A40473,mix,59,8,Sx,13.3,29,20,14,43
A40473,mix,60,7,Hw,13,27,20,6,33
A40473,mix,59,1,Hw,12.5,23,24,5,28
A40473,mix,58,1,Hw,12.3,23,22,5,28
A40473,mix,57,1,Sx,12.2,24,22,13,37
A40473,mix,63,7,Sx,11.5,26,22,13,39
A40473,mix,58,3,Cw,10.4,27,15,11,38
A40473,mix,57,4,Cw,10,26,17,10,36
A40473,mix,57,7,Hw,8.4,25,16,8,33
A40473,mix,61,4,Cw,8.2,67,7,12,79
A44413,mix,89,8,Sx,19.3,28,29,12,40
A44413,mix,96,4,Sx,18.2,28,27,12,40
A44413,mix,89,7,Ep,17.8,22,33,2,24
A44413,mix,89,6,Pl,17.7,16,39,3,19
A44413,mix,93,8,Sx,17.6,25,31,12,37
A44413,mix,90,9,Sx,17.3,24,29,12,36
A44413,mix,90,2,Ep,17.2,24,27,3,27
A44413,mix,95,7,Hw,17.2,27,26,4,31
A44413,mix,89,4,Pl,17,20,30,4,24
A44413,mix,89,1,Hw,16.2,24,28,4,28
A44413,mix,93,6,Pl,16.2,25,25,5,30
A44413,mix,90,5,Hw,16,24,28,4,28
A44413,mix,96,7,Ep,15.8,21,30,3,24
A44413,mix,90,8,Pl,15.7,15,34,4,19
A44413,mix,93,11,At,15.7,22,30,3,25
A44413,mix,94,1,Pl,15.5,25,25,5,30
A44413,mix,93,2,Hw,15.3,24,27,4,28
A44413,mix,95,4,Sx,15.2,30,23,13,43
A44413,mix,94,5,Sx,14.7,28,23,13,41
A44413,mix,91,1,Pl,14.3,25,22,5,30
A44413,mix,91,6,Sx,13.2,25,24,13,38
A44413,mix,94,7,Cw,13.2,27,19,10,37
A44413,mix,96,1,Cw,12.9,21,26,9,30
A44413,mix,92,7,Pl,12.5,15,30,4,19
A44413,mix,94,8,Hw,11.5,21,27,4,25
A44413,mix,91,3,Cw,10.2,24,17,10,34
A44413,mix,92,1,Cw,8.3,20,16,11,31
A44413,mix,92,2,Sx,7.6,19,19,14,33
