Licence,treatment,PLOT,TREE,Species,HT,DBH,Stems_ha,Gross_Bio,TC
,,,,,,,,,
A16818,sx,13,3,At,20.3,26.8,35.45,0.466,1
A16818,sx,10,1,At,18.3,18.6,184.02,0.208,2
A16818,sx,14,6,Sx,17.9,34.2,32.66,0.707,8
A16818,sx,14,1,At,17.7,16.4,142.02,0.157,1
A16818,sx,11,2,Sx,17,28.2,64.04,0.466,8
A16818,sx,9,4,At,16.9,21.2,84.99,0.246,1
A16818,sx,15,3,Sx,16.7,23.8,89.91,0.332,8
A16818,sx,10,5,Hw,16.6,15.2,275.55,0.123,8
A16818,sx,11,5,Sx,16.5,29.9,56.97,0.507,8
A16818,sx,11,8,Sx,16.3,27.7,66.38,0.433,8
A16818,sx,11,7,Sx,16.1,27.9,65.43,0.434,8
A16818,sx,10,13,Pl,15.8,17.9,198.69,0.186,8
A16818,sx,16,12,Pl,15.5,15.9,151.09,0.145,8
A16818,sx,10,12,Pl,15.3,21,144.36,0.243,8
A16818,sx,16,3,Pl,15.2,13.9,197.7,0.11,8
A16818,sx,12,6,Pl,15.1,21.9,79.64,0.26,8
A16818,sx,10,14,Hw,15,17.5,207.88,0.147,8
A16818,sx,10,10,Pl,14.9,10.1,624.08,0.058,8
A16818,sx,14,3,At,14.9,15.1,167.52,0.112,1
A16818,sx,13,4,Hw,14.7,25.5,39.16,0.304,8
A16818,sx,10,3,Hw,14.5,25.6,97.14,0.303,8
A16818,sx,15,2,Sx,14.5,20.9,116.59,0.226,8
A16818,sx,10,11,Pl,14.2,10,636.62,0.054,8
A16818,sx,10,8,Pl,14.1,19.5,167.42,0.194,8
A16818,sx,15,4,Sx,14.1,20.4,122.38,0.21,8
A16818,sx,15,6,Sx,14.1,18.8,144.1,0.18,8
A16818,sx,9,1,Hw,13.9,17.5,124.73,0.136,8
A16818,sx,10,9,Pl,13.9,16.4,236.7,0.137,8
A16818,sx,13,2,Sx,13.9,31.8,25.18,0.487,8
A16818,sx,14,4,Sx,13.9,20.6,90.01,0.211,8
A16818,sx,11,1,Sx,13.8,29.7,57.74,0.424,8
A16818,sx,14,5,Sx,13.8,23.5,69.17,0.27,8
A16818,sx,16,6,Pl,13.6,15.4,161.06,0.119,8
A16818,sx,9,2,Hw,13.5,16.8,135.34,0.122,8
A16818,sx,14,8,Hw,13.5,17.4,126.16,0.131,8
A16818,sx,16,9,Pl,13.5,12.8,233.14,0.083,8
A16818,sx,16,10,Pl,13.5,11.9,269.74,0.072,8
A16818,sx,9,3,Sx,13.4,24.5,63.64,0.285,8
A16818,sx,10,4,Hw,13.4,16,248.68,0.11,8
A16818,sx,12,1,Pl,13.3,18.5,111.61,0.165,8
A16818,sx,16,5,Pl,13.3,15.5,158.99,0.118,8
A16818,sx,15,8,Sx,13.2,17.3,170.17,0.144,8
A16818,sx,15,10,Sx,13.2,17.3,170.17,0.144,8
A16818,sx,16,11,Hw,13.2,12.9,229.54,0.07,8
A16818,sx,16,7,Pl,13.1,13,226.02,0.082,8
A16818,sx,12,3,Pl,12.8,19,105.81,0.167,8
A16818,sx,14,9,Sx,12.8,23.6,68.58,0.254,8
A16818,sx,16,14,Hw,12.8,17.1,130.63,0.12,8
A16818,sx,16,2,Pl,12.5,13.9,197.7,0.089,8
A16818,sx,13,5,Sx,12.2,21.3,56.13,0.199,8
A16818,sx,15,1,Sx,12.2,17.4,168.22,0.135,8
A16818,sx,11,9,Sx,12.1,19.3,136.73,0.164,8
A16818,sx,10,2,Hw,11.9,11.8,457.21,0.053,8
A16818,sx,12,8,Hw,11.9,13.7,203.51,0.071,8
A16818,sx,12,2,Sx,11.8,13.1,222.58,0.076,8
A16818,sx,14,2,Sx,11.6,16.5,140.3,0.116,8
A16818,sx,16,4,Pl,11.6,8.5,528.68,0.032,8
A16818,sx,9,7,Sx,11.3,19.7,98.42,0.16,8
A16818,sx,12,7,Sx,11.3,14.2,189.43,0.085,8
A16818,sx,11,4,Sx,11.1,23.5,92.22,0.221,8
A16818,sx,9,6,Sx,10.9,16.4,142.02,0.109,8
A16818,sx,9,5,Sx,10.8,18.7,109.23,0.139,8
A16818,sx,11,10,Sx,10.8,24.8,82.81,0.239,8
A16818,sx,16,8,Sx,10.7,9.8,397.72,0.04,8
A16818,sx,15,9,Sx,10.5,14,259.84,0.077,8
A16818,sx,13,1,Hw,10.4,15.3,108.78,0.078,8
A16818,sx,14,7,Hw,10.1,13.3,215.94,0.057,8
A16818,sx,11,6,Sx,10,14.7,235.69,0.081,8
A16818,sx,12,5,Sx,9.7,10.5,346.46,0.041,8
A16818,sx,13,6,Sx,8.8,15.3,108.78,0.078,8
A16818,sx,15,5,Sx,8.6,7.9,816.05,0.021,8
A16818,sx,16,1,Pl,8.5,12,265.26,0.045,9
A16818,sx,12,4,Sx,8.4,8.1,582.19,0.022,8
A16818,sx,12,9,Sx,7.9,9.1,461.26,0.026,8
A16818,sx,15,7,Bl,7.1,8.1,776.25,0.019,8
A31738,pl,79,7,Acw,41.9,120,3.54,14.097,5
A31738,pl,77,9,At,29.1,38.7,17,1.37,5
A31738,pl,78,3,Hw,19.6,44.7,25.49,1.214,2
A31738,pl,75,2,Sx,18.5,31.2,65.4,0.612,8
A31738,pl,75,4,Sx,16.4,31.2,65.4,0.547,8
A31738,pl,78,1,Sx,16.2,25.8,76.51,0.376,8
A31738,pl,73,9,Hw,16.1,23.3,70.36,0.279,8
A31738,pl,74,4,Sx,15.8,28.4,31.57,0.441,8
A31738,pl,78,4,Sx,15.6,23.3,93.81,0.298,8
A31738,pl,75,3,Hw,15.3,23.2,118.28,0.263,8
A31738,pl,75,6,Sx,14.9,28.8,76.75,0.429,8
A31738,pl,80,4,Hw,14.8,23.4,93.01,0.259,8
A31738,pl,76,8,Pl,14.7,16.7,136.96,0.151,8
A31738,pl,80,5,Hw,14.5,21.2,113.32,0.208,8
A31738,pl,79,5,Bl,14.3,21.1,114.39,0.227,8
A31738,pl,79,4,Sx,14.2,26,75.34,0.337,8
A31738,pl,80,6,Hw,14.1,21.8,107.17,0.214,8
A31738,pl,80,8,Hw,14,17.8,160.74,0.142,8
A31738,pl,78,8,Sx,13.8,28.4,63.14,0.389,8
A31738,pl,76,4,Pl,13.7,13.7,203.51,0.096,8
A31738,pl,76,1,Pl,13.5,17.4,126.16,0.149,8
A31738,pl,76,11,Pl,13.5,16.2,145.55,0.13,8
A31738,pl,79,1,Hw,13.5,20.5,121.19,0.181,8
A31738,pl,79,2,Hw,13.5,21.3,112.26,0.196,8
A31738,pl,79,3,Sx,13.5,23.3,93.81,0.26,8
A31738,pl,76,3,Hw,13.3,20.2,93.61,0.174,8
A31738,pl,78,5,Sx,13.3,25.6,77.71,0.308,8
A31738,pl,80,7,Hw,13.3,19.1,139.61,0.155,8
A31738,pl,75,9,Sx,13.1,23.4,116.26,0.255,8
A31738,pl,78,2,Bl,13.1,13,301.36,0.084,8
A31738,pl,76,2,Ep,12.6,8.1,582.19,0.026,1
A31738,pl,73,3,Hw,12.3,18.4,112.82,0.133,8
A31738,pl,80,3,Hw,11.8,13.2,292.3,0.066,8
A31738,pl,76,12,Hw,11.6,14.5,181.68,0.078,8
A31738,pl,80,10,Hw,11.6,20.1,126.06,0.15,8
A31738,pl,75,8,Sx,11.5,16.7,228.27,0.118,8
A31738,pl,77,7,Hw,11.4,12.5,162.97,0.057,8
A31738,pl,74,1,Ep,11.3,18.5,74.4,0.126,1
A31738,pl,75,1,Sx,11.3,20.7,148.57,0.176,8
A31738,pl,75,5,Sx,11.3,14.3,311.32,0.086,8
A31738,pl,76,10,Hw,11.3,11,315.68,0.044,8
A31738,pl,80,2,Hw,11.2,14.6,238.93,0.076,8
A31738,pl,73,6,Sx,10.5,16.9,133.74,0.111,8
A31738,pl,76,9,Hw,10.4,8.3,554.47,0.023,8
A31738,pl,77,8,Hw,10.4,14.3,124.53,0.068,8
A31738,pl,73,4,Sx,10.3,23.3,70.36,0.203,8
A31738,pl,76,7,Hw,10.3,8,596.83,0.021,8
A31738,pl,77,4,Hw,10.3,13.3,143.96,0.058,8
A31738,pl,80,1,Hw,9.7,17.4,168.22,0.094,8
A31738,pl,77,5,Hw,9.6,9.3,294.42,0.026,8
A31738,pl,74,2,Sx,9.5,15.9,100.73,0.09,8
A31738,pl,76,5,Cw,9.5,9.4,432.29,0.038,8
A31738,pl,75,10,Cw,9.4,21.8,133.96,0.17,8
A31738,pl,78,6,Bl,9.4,12.4,331.23,0.056,8
A31738,pl,76,6,Hw,9.3,9,471.57,0.024,8
A31738,pl,77,1,Sx,9.2,10,254.65,0.036,8
A31738,pl,73,5,Sx,8.7,10.3,360.05,0.036,8
A31738,pl,77,6,Hw,8.6,10.8,218.32,0.032,8
A31738,pl,77,2,Hw,8.5,9.7,270.64,0.025,8
A31738,pl,74,5,Sx,8.1,10.1,249.63,0.032,8
A31738,pl,79,6,Sx,8,10.1,499.26,0.032,8
A31738,pl,73,1,Sx,7.6,12.7,236.82,0.047,8
A31738,pl,73,7,Sx,7,9.3,441.64,0.024,8
A31738,pl,74,3,Hw,6.5,8.7,336.44,0.016,8
A31738,pl,77,3,Hw,4,19.3,68.36,0,4
A34657,pl,36,3,Pl,18.9,15.6,209.28,0.172,8
A34657,pl,35,1,Hw,18.3,21.3,112.26,0.265,8
A34657,pl,39,6,Ep,18.2,20.1,126.06,0.237,1
A34657,pl,33,1,Sx,17.6,28.1,80.62,0.478,8
A34657,pl,36,1,Pl,17.5,19.4,135.32,0.241,8
A34657,pl,35,7,Pl,17.4,17,176.23,0.186,8
A34657,pl,35,6,Pl,17.2,14.8,232.51,0.141,8
A34657,pl,34,5,Pl,16.8,17,176.23,0.18,8
A34657,pl,38,2,Pl,16.6,18.9,106.93,0.217,8
A34657,pl,38,1,Pl,16.5,14.3,186.79,0.126,8
A34657,pl,34,1,Pl,16.4,21,115.49,0.262,8
A34657,pl,34,8,Hw,16.3,19.6,132.57,0.2,8
A34657,pl,36,4,Pl,16.2,17,176.23,0.173,8
A34657,pl,40,2,Sx,16,20.8,88.29,0.246,8
A34657,pl,33,10,Pl,15.9,19.3,170.91,0.216,8
A34657,pl,39,3,Sx,15.7,21.2,113.32,0.251,8
A34657,pl,36,9,Sx,15.5,23.2,94.62,0.294,8
A34657,pl,36,6,Pl,15.4,15.1,223.37,0.131,8
A34657,pl,37,6,Pl,15.2,13.6,275.35,0.105,8
A34657,pl,34,2,Hw,15.1,15,226.35,0.109,8
A34657,pl,37,1,Pl,15.1,12,353.68,0.082,8
A34657,pl,33,8,Pl,15,16.5,233.84,0.151,8
A34657,pl,40,3,Sx,15,23.8,67.43,0.299,8
A34657,pl,34,7,Pl,14.9,16.5,187.07,0.15,8
A34657,pl,36,8,Pl,14.9,18.4,150.43,0.184,8
A34657,pl,40,1,Sx,14.7,26.8,53.18,0.369,8
A34657,pl,38,8,Pl,14.5,14.8,174.38,0.118,8
A34657,pl,36,10,Pl,14.3,12.6,320.8,0.085,8
A34657,pl,34,9,Pl,14,10.4,470.87,0.057,8
A34657,pl,39,4,Sx,13.8,21,115.49,0.218,8
A34657,pl,35,8,Sx,13.7,16.7,182.62,0.14,8
A34657,pl,34,3,Pl,13.6,14,259.84,0.099,8
A34657,pl,33,5,Pl,13.5,10.9,535.83,0.06,8
A34657,pl,37,4,Hw,13.4,12.3,336.64,0.065,8
A34657,pl,35,5,Cw,13.2,17,176.23,0.148,8
A34657,pl,33,2,Sx,13,12.7,394.71,0.079,8
A34657,pl,35,4,Cw,12.9,9,628.76,0.046,8
A34657,pl,35,9,Cw,12.9,14.8,232.51,0.113,8
A34657,pl,33,7,Sx,12.8,14.5,302.79,0.1,8
A34657,pl,37,2,Cw,12.7,15.4,214.75,0.12,8
A34657,pl,37,7,Pl,12.5,9.5,564.32,0.043,9
A34657,pl,38,5,Hw,12.5,12.2,256.63,0.059,8
A34657,pl,34,4,Pl,12.4,13,301.36,0.078,8
A34657,pl,33,6,Sx,12,9.8,662.87,0.045,8
A34657,pl,37,5,Cw,11.5,13.6,275.35,0.087,8
A34657,pl,35,3,Cw,11.2,10.5,461.95,0.054,8
A34657,pl,38,7,Hw,11.2,10.1,374.45,0.036,8
A34657,pl,33,4,Sx,11.1,9.4,720.48,0.038,8
A34657,pl,40,7,Sx,11.1,13.4,212.73,0.075,8
A34657,pl,35,2,Pl,10.9,8.1,776.25,0.027,9
A34657,pl,40,4,Sx,10.4,17.9,119.21,0.123,8
A34657,pl,39,5,Sx,10.3,14.6,238.93,0.082,8
A34657,pl,39,7,Sx,10.3,16.7,182.62,0.107,8
A34657,pl,36,11,Cw,10.2,10.5,461.95,0.049,8
A34657,pl,39,2,Sx,10.2,18.9,142.58,0.134,8
A34657,pl,38,6,Hw,10.1,10.5,346.46,0.035,8
A34657,pl,39,1,Sx,9.8,17.6,164.42,0.113,8
A34657,pl,36,7,Cw,9.6,10.5,461.95,0.046,8
A34657,pl,34,6,Pl,9.5,9.9,519.64,0.035,8
A34657,pl,40,5,Sx,9.5,14.3,186.79,0.073,8
A34657,pl,40,6,Sx,9.5,8.6,516.46,0.028,8
A34657,pl,38,4,Pl,8.8,10.2,367.14,0.034,8
A34657,pl,36,5,Cw,8.7,8.6,688.61,0.029,8
A34657,pl,36,2,Hw,8.6,8.5,704.91,0.02,8
A34657,pl,38,3,Hw,8.6,8,596.83,0.017,8
A34657,pl,38,10,Cw,8.2,10.2,367.14,0.038,8
A34657,pl,37,3,Hw,7.7,9.6,552.62,0.023,8
A34676,pl,19,1,Sx,18,29.2,59.73,0.526,8
A34676,pl,23,14,Sx,17.9,23.5,92.22,0.346,8
A34676,pl,18,8,Pl,17.8,17.1,174.17,0.193,8
A34676,pl,22,1,Pl,17.7,15.5,158.99,0.159,8
A34676,pl,19,5,Ep,17.5,31.9,50.05,0.532,1
A34676,pl,20,4,Pl,17.3,18.7,145.64,0.222,8
A34676,pl,22,4,Pl,17,15.6,156.96,0.154,8
A34676,pl,18,5,Pl,16.8,14.9,229.4,0.139,8
A34676,pl,22,5,Pl,16.7,18.4,112.82,0.208,8
A34676,pl,22,6,Sx,16.7,19.8,97.43,0.234,8
A34676,pl,18,1,Pl,16.6,11.6,378.49,0.085,8
A34676,pl,21,7,Sx,16.5,20.7,118.86,0.251,8
A34676,pl,22,7,Pl,16.5,16.2,145.55,0.161,8
A34676,pl,18,2,Pl,16.2,13.6,275.35,0.112,8
A34676,pl,18,3,Pl,16.2,15.2,220.44,0.139,8
A34676,pl,18,4,Pl,16.1,16.4,189.36,0.16,8
A34676,pl,24,3,Pl,16.1,18.4,112.82,0.2,8
A34676,pl,19,6,Ep,16,16.8,180.45,0.147,1
A34676,pl,21,3,Pl,15.9,13.9,263.6,0.115,8
A34676,pl,24,1,Pl,15.9,18.3,114.06,0.195,8
A34676,pl,21,4,Sx,15.8,23.9,89.16,0.317,8
A34676,pl,18,6,Pl,15.7,14.9,229.4,0.13,8
A34676,pl,19,3,Bl,15.6,22,105.23,0.267,8
A34676,pl,20,1,Pl,15.6,13.9,263.6,0.113,8
A34676,pl,20,7,Pl,15.6,15.8,204.01,0.144,8
A34676,pl,17,1,Pl,15.4,13.8,267.43,0.11,8
A34676,pl,20,3,Pl,15.4,17.1,174.17,0.166,8
A34676,pl,21,5,Pl,15,11.6,378.49,0.076,8
A34676,pl,24,5,Pl,14.9,18.3,114.06,0.182,8
A34676,pl,21,10,Cw,14.8,13.6,275.35,0.111,8
A34676,pl,22,2,Ep,14.8,17.4,126.16,0.146,1
A34676,pl,24,2,Pl,14.8,18.4,112.82,0.183,8
A34676,pl,21,1,Cw,14.7,20.3,123.59,0.224,8
A34676,pl,21,12,Hw,14.6,14.2,252.58,0.094,8
A34676,pl,22,3,Pl,14.6,12.2,256.63,0.082,8
A34676,pl,20,2,Pl,14.5,18.1,155.46,0.173,8
A34676,pl,20,5,Pl,14.5,15.7,206.62,0.132,8
A34676,pl,22,8,Sx,14.5,17.5,124.73,0.161,8
A34676,pl,23,2,Sx,14.4,18.4,150.43,0.176,8
A34676,pl,23,11,Hw,14.3,18.8,144.1,0.162,8
A34676,pl,23,3,Sx,14.2,17,176.23,0.15,8
A34676,pl,23,9,Sx,13.9,16.8,180.45,0.143,8
A34676,pl,23,4,Sx,13.8,16.2,194.06,0.133,8
A34676,pl,24,7,Pl,13.8,13.5,209.59,0.094,8
A34676,pl,19,2,Ep,13.5,19.2,138.16,0.161,1
A34676,pl,23,10,Hw,13.5,13.4,283.64,0.077,8
A34676,pl,23,6,Hw,13.4,14.9,229.4,0.095,8
A34676,pl,23,1,Sx,13.1,17.3,170.17,0.143,8
A34676,pl,23,13,Sx,13.1,13.3,287.92,0.087,8
A34676,pl,23,12,Sx,13,18.3,152.08,0.158,8
A34676,pl,23,7,Sx,12.9,17.1,174.17,0.138,8
A34676,pl,21,8,Hw,12.8,14.2,252.58,0.083,8
A34676,pl,21,11,Pl,12.8,8.3,739.29,0.033,8
A34676,pl,19,7,Ep,12.5,11.7,372.05,0.056,1
A34676,pl,24,4,Pl,12.5,11.7,279.04,0.064,8
A34676,pl,17,3,Pl,12.3,8.6,688.61,0.034,8
A34676,pl,17,2,Sx,12.2,15.1,223.37,0.103,8
A34676,pl,17,6,Hw,11.7,14.1,256.17,0.074,8
A34676,pl,17,8,Hw,11.5,10.9,428.66,0.044,8
A34676,pl,23,8,Sx,11.5,9.8,530.3,0.043,8
A34676,pl,21,6,Hw,11.3,8.5,704.91,0.026,8
A34676,pl,21,9,Cw,11.2,12.2,342.18,0.07,8
A34676,pl,17,7,Hw,11,11,420.91,0.042,8
A34676,pl,17,9,Bl,10.9,10,509.3,0.043,8
A34676,pl,18,10,Pl,10.9,8.8,657.67,0.032,8
A34676,pl,20,6,Hw,9.4,12.2,342.18,0.045,8
A34676,pl,22,9,Sx,9.3,15.5,158.99,0.084,8
A34676,pl,18,7,Hw,8.9,9,628.76,0.023,8
